Scientific Name,Common Name,Species Group,Federal Listing Status
Somateria fischeri,Spectacled eider,Birds,Threatened
Somatochlora hineana,Hine's emerald dragonfly,Insects,Endangered
Sorex ornatus relictus,Buena Vista Lake ornate Shrew,Mammals,Endangered
Spelaeorchestia koloana,Kauai cave amphipod,Crustaceans,Endangered
Speoplatyrhinus poulsoni,Alabama cavefish,Fishes,Endangered
Speyeria callippe callippe,Callippe silverspot butterfly,Insects,Endangered
Speyeria zerene behrensii,Behren's silverspot butterfly,Insects,Endangered
Speyeria zerene hippolyta,Oregon silverspot butterfly,Insects,Threatened
Speyeria zerene myrtleae,Myrtle's silverspot butterfly,Insects,Endangered
Sphaerodactylus micropithecus,Monito gecko,Reptiles,Endangered
Spheniscus demersus,African penguin,Birds,Endangered
Spheniscus humboldti,Humboldt penguin,Birds,Threatened
Spheniscus mendiculus,Galapagos penguin,Birds,Endangered
Sphenodon guntheri,Brother's Island tuatara,Reptiles,Endangered
Sphenodon punctatus,Tuatara,Reptiles,Endangered
Sphyrna lewini,Scalloped Hammerhead Shark,Fishes,Endangered
Sphyrna lewini,Scalloped Hammerhead Shark,Fishes,Endangered
Sphyrna lewini,Scalloped Hammerhead Shark,Fishes,Threatened
Sphyrna lewini,Scalloped Hammerhead Shark,Fishes,Threatened
Sterna antillarum,Least tern,Birds,Endangered
Sterna antillarum browni,California least tern,Birds,Endangered
Sterna dougallii dougallii,Roseate tern,Birds,Endangered
Sterna dougallii dougallii,Roseate tern,Birds,Threatened
Sternotherus depressus,Flattened musk turtle,Reptiles,Threatened
Streptocephalus woottoni,Riverside fairy shrimp,Crustaceans,Endangered
Streptopelia picturata rostrata,Seychelles turtle dove,Birds,Endangered
Strigops habroptilus,Kakapo,Birds,Endangered
Strix occidentalis caurina,Northern spotted owl,Birds,Threatened
Strix occidentalis lucida,Mexican spotted owl,Birds,Threatened
Struthio camelus spatzi,West African ostrich,Birds,Endangered
Struthio camelus syriacus,Arabian ostrich,Birds,Endangered
Strymon acis bartrami,Bartram's hairstreak Butterfly,Insects,Endangered
Stygobromus (=Stygonectes) pecki,Peck's cave amphipod,Crustaceans,Endangered
Stygobromus hayi,Hay's Spring amphipod,Crustaceans,Endangered
Stygoparnus comalensis,Comal Springs dryopid beetle,Insects,Endangered
Succinea chittenangoensis,Chittenango ovate amber snail,Snails,Threatened
Sus salvanius,Pygmy hog,Mammals,Endangered
Sylvilagus bachmani riparius,Riparian brush rabbit,Mammals,Endangered
Sylvilagus palustris hefneri,Lower Keys marsh rabbit,Mammals,Endangered
Symphalangus syndactylus,Siamang,Mammals,Endangered
Syncaris pacifica,California freshwater shrimp,Crustaceans,Endangered
Syrmaticus ellioti,Elliot's pheasant,Birds,Endangered
Syrmaticus humaie,Bar-tailed pheasant,Birds,Endangered
Syrmaticus mikado,Mikado pheasant,Birds,Endangered
Tachybaptus rufolavatus,Alaotra Grebe,Birds,Endangered
Tamiasciurus hudsonicus grahamensis,Mount Graham red squirrel,Mammals,Endangered
Tanakia tanago,Miyako tango (=Toyko bitterling),Fishes,Endangered
Tapirus bairdii,Central American tapir,Mammals,Endangered
Tapirus indicus,Asian tapir,Mammals,Endangered
Tapirus pinchaque,Mountain tapir,Mammals,Endangered
Tapirus terrestris,South American (=Brazilian) tapir,Mammals,Endangered
Tarsius syrichta,Philippine tarsier,Mammals,Threatened
Tartarocreagris texana,Tooth Cave pseudoscorpion,Arachnids,Endangered
Tauraco bannermani,Bannerman's turaco,Birds,Endangered
Taurotragus derbianus derbianus,Western giant eland,Mammals,Endangered
Taylorconcha serpenticola,Bliss Rapids snail,Snails,Threatened
Telespyza cantans,Laysan finch (honeycreeper),Birds,Endangered
Telespyza ultima,Nihoa finch (honeycreeper),Birds,Endangered
Terpsiphone corvina,Seychelles paradise flycatcher,Birds,Endangered
Terrapene coahuila,Aquatic box turtle,Reptiles,Endangered
Tetrao urogallus cantabricus,Cantabrian capercaillie,Birds,Endangered
Texamaurops reddelli,Kretschmarr Cave mold beetle,Insects,Endangered
Texella cokendolpheri,Cokendolpher Cave Harvestman,Arachnids,Endangered
Texella reddelli,Bee Creek Cave harvestman,Arachnids,Endangered
Texella reyesi,Bone Cave harvestman,Arachnids,Endangered
Thaleichthys pacificus,Eulachon,Fishes,Threatened
Thamnophis eques megalops,Northern Mexican gartersnake,Reptiles,Threatened
Thamnophis gigas,Giant garter snake,Reptiles,Threatened
Thamnophis rufipunctatus,Narrow-headed gartersnake,Reptiles,Threatened
Thamnophis sirtalis tetrataenia,San Francisco garter snake,Reptiles,Endangered
Thermosphaeroma thermophilus,Socorro isopod,Crustaceans,Endangered
Theropithecus gelada,Gelada baboon,Mammals,Threatened
Thinornis novaeseelandiae,New Zealand shore plover,Birds,Endangered
Thomomys mazama glacialis,Roy Prairie pocket gopher,Mammals,Threatened
Thomomys mazama pugetensis,Olympia pocket gopher,Mammals,Threatened
Thomomys mazama tumuli,Tenino pocket gopher,Mammals,Threatened
Thomomys mazama yelmensis,Yelm pocket gopher,Mammals,Threatened
Thylacinus cynocephalus,Tasmanian tiger,Mammals,Endangered
Tiaroga cobitis,Loach minnow,Fishes,Endangered
Tinamus solitarius,Solitary tinamou,Birds,Endangered
Todiramphus cinnamominus,Guam kingfisher,Birds,Endangered
Tomistoma schlegelii,Tomistoma,Reptiles,Endangered
Toxolasma cylindrellus,Pale lilliput (pearlymussel),Clams,Endangered
Trachemys scripta callirostris,South American red-lined turtle,Reptiles,Endangered
Trachemys stejnegeri malonei,Inagua Island turtle,Reptiles,Endangered
Trachemys terrapen,Cat Island turtle,Reptiles,Endangered
Trachypithecus (=Presbytis) francoisi,Francois' langur,Mammals,Endangered
Trachypithecus (=Presbytis) geei,Golden langur,Mammals,Endangered
Trachypithecus (=Presbytis) pileatus,Capped Langur,Mammals,Endangered
Tragopan blythii,Blyth's tragopan pheasant,Birds,Endangered
Tragopan caboti,Cabot's tragopan pheasant,Birds,Endangered
Tragopan melanocephalus,Western tragopan pheasant,Birds,Endangered
Trichechus inunguis,Amazonian manatee,Mammals,Endangered
Trichechus manatus,West Indian Manatee,Mammals,Threatened
Trichechus senegalensis,West African manatee,Mammals,Threatened
Trichocichla rufa,Long-legged warbler,Birds,Endangered
Trimerotropis infantilis,Zayante band-winged grasshopper,Insects,Endangered
Tringa guttifer,Nordmann's greenshank,Birds,Endangered
Triodopsis platysayoides,Flat-spired three-toothed Snail,Snails,Threatened
Trionyx ater,Cuatro Cienegas softshell turtle,Reptiles,Endangered
Trionyx gangeticus,Indian softshell turtle,Reptiles,Endangered
Trionyx hurum,Peacock softshell turtle,Reptiles,Endangered
Trionyx nigricans,Black softshell turtle,Reptiles,Endangered
Troglodytes aedon guadeloupensis,Guadeloupe house wren,Birds,Endangered
Troglodytes aedon mesoleucus,St. Lucia house wren,Birds,Endangered
Troides alexandrae,Queen Alexandra's birdwing butterfly,Insects,Endangered
Tryonia alamosae,Alamosa springsnail,Snails,Endangered
Tryonia cheatumi,Phantom Tryonia,Snails,Endangered
Tryonia circumstriata (=stocktonensis),Gonzales tryonia,Snails,Endangered
Tulotoma magnifica,Tulotoma snail,Snails,Threatened
Turdus olivaceus helleri,Taita thrush,Birds,Endangered
Turnagra capensis,New Zealand thrush (wattlebird),Birds,Endangered
Tympanuchus cupido attwateri,Attwater's greater prairie-chicken,Birds,Endangered
Typhlomolge rathbuni,Texas blind salamander,Amphibians,Endangered
Tyto soumagnei,Madagascar red owl,Birds,Endangered
Uma inornata,Coachella Valley fringe-toed lizard,Reptiles,Threatened
Uncia (=Panthera) uncia,Snow leopard,Mammals,Endangered
Uratelornis chimaera,Long-tailed ground roller,Birds,Endangered
Urocitellus brunneus,Northern Idaho Ground Squirrel,Mammals,Threatened
Urocyon littoralis catalinae,Santa Catalina Island Fox,Mammals,Threatened
Ursus arctos,Mexican grizzly bear,Mammals,Endangered
Ursus arctos arctos,Brown bear,Mammals,Endangered
Ursus arctos horribilis,Grizzly bear,Mammals,"Experimental Population, Non-Essential"
Ursus arctos horribilis,Grizzly bear,Mammals,Threatened
Ursus arctos pruinosus,Brown bear,Mammals,Endangered
Ursus maritimus,Polar bear,Mammals,Threatened
Ursus thibetanus gedrosianus,Baluchistan bear,Mammals,Endangered
Vagrans egistina,Mariana wandering butterfly,Insects,Endangered
Varanus bengalensis,Indian (=Bengal) monitor,Reptiles,Endangered
Varanus flavescens,Yellow monitor,Reptiles,Endangered
Varanus griseus,Desert monitor,Reptiles,Endangered
Varanus komodoensis,Komodo Island monitor,Reptiles,Endangered
Vermivora bachmanii,Bachman's warbler (=wood),Birds,Endangered
Vetericaris chaceorum,Anchialine pool shrimp,Crustaceans,Endangered
Vicugna vicugna,Vicuna,Mammals,Endangered
Vicugna vicugna,Vicuna,Mammals,Threatened
Villosa choctawensis,Choctaw bean,Clams,Endangered
Villosa fabalis,Rayed Bean,Clams,Endangered
Villosa perpurpurea,Purple bean,Clams,Endangered
Villosa trabalis,Cumberland bean (pearlymussel),Clams,Endangered
Villosa trabalis,Cumberland bean (pearlymussel),Clams,"Experimental Population, Non-Essential"
Villosa trabalis,Cumberland bean (pearlymussel),Clams,"Experimental Population, Non-Essential"
Vipera latifii,Lar Valley viper,Reptiles,Endangered
Vireo atricapilla,Black-capped Vireo,Birds,Endangered
Vireo bellii pusillus,Least Bell's vireo,Birds,Endangered
Viverra civettina (=megaspila c.),Malabar large-spotted civet,Mammals,Endangered
Vulpes macrotis mutica,San Joaquin kit fox,Mammals,Endangered
Vulpes velox hebes,Northern swift fox,Mammals,Endangered
Vultur gryphus,Andean condor,Birds,Endangered
Wyulda squamicaudata,Scaly-tailed possum,Mammals,Endangered
Xenicus longipes,New Zealand bushwren,Birds,Endangered
Xenopirostris damii,Van Dam's vanga,Birds,Threatened
Xenopirostris polleni,Pollen's vanga,Birds,Threatened
Xeromys myoides,False water rat,Mammals,Endangered
Xipholena atropurpurea,White-winged cotinga,Birds,Endangered
Xyrauchen texanus,Razorback sucker,Fishes,Endangered
Zapus hudsonius luteus,New Mexico meadow jumping mouse,Mammals,Endangered
Zapus hudsonius preblei,Preble's meadow jumping mouse,Mammals,Threatened
Zosterops albogularis,Norfolk Island white-eye,Birds,Endangered
Zosterops conspicillatus conspicillatus,Bridled white-eye,Birds,Endangered
Zosterops modesta,Seychelles white-eye,Birds,Endangered
Zosterops rotensis,Rota bridled White-eye,Birds,Endangered
Zyzomys pedunculatus,Australian native mouse,Mammals,Endangered
