Scientific Name,Common Name,Species Group,Federal Listing Status
Dermatemys mawii,Central American river turtle,Reptiles,Endangered
Dermochelys coriacea,Leatherback sea turtle,Reptiles,Endangered
Desmocerus californicus dimorphus,Valley elderberry longhorn beetle,Insects,Threatened
Dicerorhinus sumatrensis,Sumatran rhinoceros,Mammals,Endangered
Diceros bicornis,Black rhinoceros,Mammals,Endangered
Dinacoma caseyi,Casey's June Beetle,Insects,Endangered
Diomedia amsterdamensis,Amsterdam Albatross,Birds,Endangered
Dionda diaboli,Devils River minnow,Fishes,Threatened
Dipodomys heermanni morroensis,Morro Bay kangaroo rat,Mammals,Endangered
Dipodomys ingens,Giant kangaroo rat,Mammals,Endangered
Dipodomys merriami parvus,San Bernardino Merriam's kangaroo rat,Mammals,Endangered
Dipodomys nitratoides exilis,Fresno kangaroo rat,Mammals,Endangered
Dipodomys nitratoides nitratoides,Tipton kangaroo rat,Mammals,Endangered
Dipodomys stephensi (incl. D. cascus),Stephens' kangaroo rat,Mammals,Endangered
Discoglossus nigriventer,Israel painted frog,Amphibians,Endangered
Discus macclintocki,Iowa Pleistocene snail,Snails,Endangered
Drepanoptila holosericea,Cloven-feathered dove,Birds,Endangered
Dromus dromas,Dromedary pearlymussel,Clams,Endangered
Dromus dromas,Dromedary pearlymussel,Clams,"Experimental Population, Non-Essential"
Dromus dromas,Dromedary pearlymussel,Clams,"Experimental Population, Non-Essential"
Drosophila aglaia,Hawaiian picture-wing fly,Insects,Endangered
